adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,budget,revenue,runtime,expected_revenue,disappointment_index,roi,release_year,release_month
False,/mzRJpkWPjXdXak0WCc8ZxVH4hug.jpg,"[878, 28]",373571,Godzilla: King of the Monsters,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",12.6181,/mzOHg7Q5q9yUmY0b9Esu8Qe6Nnm.jpg,2019-05-29,False,False,6.692,6694,170000000,387300138,132,425000000.0,0.9112944423529412,1.278236105882353,2019,5
False,/g4a5YLWwi6OCp8TcvxsUNrXMbN5.jpg,"[878, 28, 53]",87101,Terminator Genisys,en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",12.5889,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,2015-06-23,False,False,5.953,8954,155000000,440603537,126,387500000.0,1.1370413858064516,1.842603464516129,2015,6
False,/v23fWgJUEt8EMmvn19btIacxP8E.jpg,"[10749, 14, 16]",3933,Corpse Bride,en,Corpse Bride,"In a 19th-century European village, a young man about to be married is whisked away to the underworld and wed to a mysterious corpse bride, while his real bride waits bereft in the land of the living.",12.5886,/3RAoVTxUk1OzZClscAsynuu670p.jpg,2005-09-12,False,False,7.587,10158,40000000,118133252,77,100000000.0,1.18133252,1.9533313,2005,9
False,/70uUnpfe7en9x011UjpZoub101l.jpg,"[99, 18]",1430,Bowling for Columbine,en,Bowling for Columbine,"This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old. Bowling for Columbine is a journey through the US, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",12.5453,/4XsiTsZcNCRSkee1o0fdr5OqYRT.jpg,2002-10-09,False,False,7.513,1687,4000000,35564473,120,10000000.0,3.5564473,7.89111825,2002,10
False,/2QMgoiDlTmrO9FngZft8GgZ2SbX.jpg,"[10751, 16, 12, 35]",270946,Penguins of Madagascar,en,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",12.5431,/dXbpNrPDZDMEbujFoOxmMNQVMHa.jpg,2014-11-22,False,False,6.532,4460,132000000,373515621,92,330000000.0,1.1318655181818182,1.8296637954545454,2014,11
False,/ff2ti5DkA9UYLzyqhQfI2kZqEuh.jpg,"[28, 53]",245891,John Wick,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,12.5358,/wXqWR7dHncNRbxoEGybEy7QTe9h.jpg,2014-10-22,False,False,7.454,20795,20000000,86085191,101,50000000.0,1.72170382,3.30425955,2014,10
False,/tZvdyLP2F6x2TTuh292ceH87qZT.jpg,"[12, 28, 14]",166426,Pirates of the Caribbean: Dead Men Tell No Tales,en,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",12.4955,/6lAPOAFYFWIO3SQRemEY2wInQMC.jpg,2017-05-23,False,False,6.656,12783,230000000,795922298,129,575000000.0,1.384212692173913,2.4605317304347825,2017,5
False,/zkThiZAaAie8Lw7RAc5yPTOewBV.jpg,"[14, 16, 10751]",8392,My Neighbor Totoro,ja,となりのトトロ,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",12.4903,/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg,1988-04-16,False,False,8.1,8789,3700000,41000000,86,9250000.0,4.4324324324324325,10.08108108108108,1988,4
False,/jPu8yiadqgzwFPGKJmGo637ASVP.jpg,"[878, 28, 12]",1724,The Incredible Hulk,en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",12.4758,/gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg,2008-06-12,False,False,6.238,12666,150000000,264770996,114,375000000.0,0.7060559893333334,0.7651399733333333,2008,6
False,/tH2SoOS2HqOJCOImbeGkmKSdCMz.jpg,"[12, 18, 10751]",1265,Bridge to Terabithia,en,Bridge to Terabithia,"Jesse Aarons trained all summer to become the fastest runner in school. So he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences including that she's rich, he's poor, she's a city girl, and he's a country boy the two become fast friends. Together they create Terabithia, a land of monsters, trolls, ogres, and giants where they rule as king and queen.",12.4654,/3xFxGodKPMFLheS8rujFSmLfcq4.jpg,2007-02-15,False,False,7.321,5230,60000000,137587063,95,150000000.0,0.9172470866666667,1.2931177166666667,2007,2
